,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
86,female,31.0,3rd,S,Hungary,349244.0,8.1308,0.0,0.0,yes
87,female,18.0,3rd,C,Lebanon,2691.0,14.0901,0.0,1.0,no
88,female,45.0,3rd,C,Lebanon,2691.0,14.0901,0.0,1.0,no
89,female,27.0,1st,S,Unknown,19877.0,78.17,0.0,0.0,yes
90,male,47.0,1st,S,England,27042.0,30.0,0.0,0.0,yes
91,female,33.0,3rd,Q,Ireland,330844.0,7.1707,0.0,0.0,no
92,male,22.0,3rd,S,England,324669.0,8.01,0.0,0.0,no
93,female,32.0,1st,C,Italy,11813.0,76.051,0.0,0.0,yes
94,male,52.0,2nd,S,England,1166.0,12.1006,0.0,0.0,no
95,male,23.0,3rd,S,Bulgaria,349217.0,7.1711,0.0,0.0,no
96,male,60.0,1st,C,United States,17318.0,25.1806,0.0,0.0,no
97,male,24.0,1st,C,Canada,17558.0,247.1005,0.0,1.0,no
98,female,50.0,1st,C,Canada,17558.0,247.1005,0.0,1.0,yes
99,male,32.0,2nd,S,England,2908.0,26.0,1.0,0.0,yes
100,female,22.0,2nd,S,England,2908.0,26.0,1.0,0.0,yes
101,male,36.0,1st,S,Canada,13050.0,75.041,0.0,0.0,no
102,male,44.0,2nd,S,England,244358.0,26.0,0.0,0.0,no
103,male,20.0,3rd,S,England,323951.0,8.01,0.0,0.0,no
104,male,1.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
105,female,4.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
106,female,12.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
107,female,35.0,2nd,S,United States,230136.0,39.0,0.0,3.0,yes
108,male,37.0,1st,S,United States,11751.0,52.1101,1.0,1.0,yes
109,female,46.0,1st,S,United States,11751.0,52.1101,1.0,1.0,yes
110,male,34.0,2nd,S,England,248698.0,13.0,0.0,0.0,yes
111,male,26.0,1st,C,United States,111369.0,30.0,0.0,0.0,yes
112,male,26.0,3rd,S,Sweden,347068.0,7.1506,0.0,0.0,no
113,female,19.0,2nd,S,United States,28404.0,13.0,0.0,0.0,yes
114,male,22.0,3rd,S,Finland,4348.0,9.07,0.0,0.0,no
115,male,23.0,2nd,S,England,28425.0,13.0,0.0,0.0,no
116,female,39.0,1st,C,United States,17760.0,63.0702,0.0,0.0,yes
117,female,46.0,1st,C,Unknown,17757.0,247.1006,0.0,0.0,yes
118,male,32.0,3rd,S,Unknown,1601.0,56.0911,0.0,0.0,yes
119,female,31.0,1st,S,England,17483.0,221.1507,0.0,0.0,yes
120,male,21.0,3rd,S,Norway,312992.0,7.1506,0.0,0.0,no
121,male,24.0,1st,C,Unknown,13905.0,26.0,0.0,0.0,no
122,male,25.0,1st,C,United States,11967.0,91.0107,1.0,0.0,yes
123,female,19.0,1st,C,United States,11967.0,91.0107,1.0,0.0,yes
124,male,18.0,3rd,S,Sweden,347090.0,7.15,0.0,0.0,no
125,male,28.0,1st,S,Sweden,110564.0,26.11,0.0,0.0,yes
126,male,45.0,1st,S,United States,113784.0,35.1,0.0,0.0,no
127,male,39.0,1st,C,United States,112277.0,31.0,0.0,0.0,yes
128,female,30.0,1st,S,United States,36928.0,164.1704,0.0,0.0,yes
129,female,61.0,1st,S,England,113783.0,26.11,0.0,0.0,yes
130,male,41.0,1st,S,England,110489.0,26.11,0.0,0.0,no
131,male,26.0,3rd,S,Unknown,349224.0,7.1711,0.0,0.0,no
132,male,25.0,2nd,S,United States,237670.0,13.0,0.0,0.0,no
133,female,40.0,3rd,Q,Ireland,364848.0,7.15,0.0,2.0,no
134,male,42.0,3rd,Q,Ireland,364849.0,15.1,1.0,1.0,no
135,female,32.0,3rd,Q,Ireland,364849.0,15.1,1.0,1.0,no
136,female,45.0,1st,C,United States,17608.0,262.0706,0.0,0.0,yes
137,male,26.0,3rd,S,Wales,54636.0,16.02,0.0,0.0,no
138,male,42.0,2nd,S,Unknown,211535.0,13.0,0.0,0.0,no
139,female,22.0,1st,S,England,113505.0,55.0,0.0,1.0,yes
140,male,30.0,2nd,S,United States,220367.0,13.0,0.0,0.0,no
141,female,22.0,3rd,Q,Ireland,334914.0,7.1406,0.0,0.0,yes
142,male,41.0,1st,S,United States,113054.0,30.1,0.0,0.0,no
143,female,20.0,3rd,S,Sweden,347471.0,7.1701,0.0,0.0,no
144,male,24.0,2nd,S,England,250654.0,,,,no
145,male,48.0,1st,C,United States,17591.0,50.0911,0.0,0.0,no
146,male,29.0,3rd,S,England,3460.0,7.0,1.0,0.0,no
147,male,23.0,3rd,S,England,21171.0,7.05,1.0,0.0,no
148,male,37.0,1st,S,United States,111427.0,26.11,0.0,0.0,yes
149,male,46.0,1st,C,United States,112379.0,39.12,0.0,0.0,no
150,male,20.0,2nd,S,France,250654.0,,,,no
151,male,32.0,2nd,S,Unknown,244360.0,13.0,0.0,0.0,no
152,male,22.0,3rd,S,Sweden,350045.0,7.1511,0.0,0.0,no
153,male,40.0,3rd,S,England,364512.0,8.01,0.0,0.0,no
154,female,18.0,2nd,S,England,248733.0,13.0,0.0,0.0,yes
155,female,15.0,2nd,S,South Africa,29750.0,39.0,0.0,2.0,yes
156,female,59.0,1st,S,United States,11769.0,51.0907,2.0,0.0,yes
157,female,40.0,2nd,S,South Africa,29750.0,39.0,1.0,1.0,yes
158,female,44.0,1st,C,United States,17610.0,27.1405,0.0,0.0,yes
159,male,60.0,2nd,S,South Africa,29750.0,39.0,1.0,1.0,no
160,female,20.0,2nd,S,Sweden,236853.0,26.0,1.0,0.0,yes
161,male,25.0,2nd,S,Sweden,236853.0,26.0,1.0,0.0,no
162,female,22.0,3rd,Q,Ireland,329944.0,7.0508,0.0,0.0,no
163,male,21.0,3rd,Q,Ireland,330920.0,7.1517,0.0,0.0,yes
164,female,58.0,1st,C,India,11813.0,76.051,0.0,0.0,yes
165,male,7.0,3rd,C,Lebanon,2678.0,15.0411,1.0,1.0,no
166,female,10.0,3rd,C,Lebanon,2678.0,15.0411,1.0,1.0,no
167,female,40.0,3rd,C,Lebanon,2678.0,15.0411,0.0,2.0,no
168,male,19.0,3rd,Q,Ireland,365222.0,6.15,0.0,0.0,no
169,female,41.0,1st,C,Unknown,16966.0,134.1,0.0,0.0,yes
170,female,17.0,3rd,Q,Ireland,330963.0,7.1707,0.0,0.0,no
171,female,36.0,2nd,S,England,27849.0,13.0,0.0,0.0,yes
172,male,26.0,2nd,S,England,234686.0,13.0,0.0,0.0,no
173,male,21.0,3rd,C,Lebanon,2648.0,7.0407,0.0,0.0,no
174,male,46.0,1st,S,United States,113050.0,26.11,0.0,0.0,no
175,male,42.0,2nd,S,England,244310.0,13.0,0.0,0.0,no
176,female,40.0,2nd,S,United States,236852.0,13.0,0.0,0.0,yes
177,female,21.0,3rd,S,Croatia (Modern),315087.0,8.1303,0.0,0.0,no
178,female,30.0,3rd,S,Croatia (Modern),315084.0,8.1303,0.0,0.0,no
179,male,18.0,3rd,S,Croatia (Modern),315091.0,8.1303,0.0,0.0,no
180,male,38.0,3rd,S,Croatia (Modern),315089.0,8.1303,0.0,0.0,no
181,male,28.0,1st,S,Scotland,113798.0,31.0,0.0,0.0,no
182,male,42.0,1st,S,United States,17476.0,26.0509,0.0,0.0,yes
183,male,0.833333333,2nd,S,Siam,248738.0,29.0,0.0,2.0,yes
184,male,26.0,2nd,S,Siam,248738.0,29.0,1.0,1.0,yes
185,female,28.0,2nd,S,United States,248738.0,29.0,1.0,1.0,yes
186,male,17.0,3rd,S,Croatia (Modern),315093.0,8.1303,0.0,0.0,no
187,male,17.0,3rd,S,Croatia (Modern),315086.0,8.1303,0.0,0.0,no
188,female,35.0,2nd,S,England,13528.0,21.0,0.0,0.0,yes
189,male,21.0,2nd,B,Northern Ireland,239853.0,,0.0,0.0,no
190,female,22.0,3rd,Q,Ireland,364846.0,7.15,0.0,0.0,no
191,male,21.0,3rd,Q,Ireland,364858.0,7.15,0.0,0.0,no
192,female,52.0,1st,C,United States,17606.0,27.0811,0.0,0.0,yes
193,male,29.0,3rd,S,England,2152.0,8.01,0.0,0.0,no
194,male,28.0,3rd,C,Canada,2689.0,14.0902,1.0,0.0,no
195,female,18.0,3rd,C,Lebanon,2689.0,14.0902,1.0,0.0,no
196,male,19.0,2nd,S,England,28424.0,13.0,0.0,0.0,no
197,female,58.0,1st,C,United States,17755.0,512.0607,0.0,1.0,yes
198,male,36.0,1st,C,United States,17755.0,512.0607,0.0,1.0,yes
199,male,28.0,3rd,S,Sweden,350042.0,7.1511,0.0,0.0,no
200,male,24.0,3rd,S,Sweden,350409.0,7.1701,0.0,0.0,no
201,male,33.0,1st,S,United States,695.0,5.0,0.0,0.0,no
202,male,17.0,1st,S,Uruguay,113059.0,47.02,0.0,0.0,no
203,male,27.0,1st,S,Uruguay,113059.0,47.02,0.0,0.0,no
204,female,45.0,3rd,Q,Ireland,368364.0,7.15,0.0,0.0,no
205,male,54.0,2nd,S,England,244252.0,26.0,1.0,0.0,no
206,male,11.0,1st,S,United States,113760.0,120.0,1.0,2.0,yes
207,female,13.0,1st,S,United States,113760.0,120.0,1.0,2.0,yes
208,female,45.0,2nd,S,England,244252.0,26.0,1.0,0.0,no
209,female,36.0,1st,S,United States,113760.0,120.0,1.0,2.0,yes
210,male,36.0,1st,S,United States,113760.0,120.0,1.0,2.0,yes
211,male,28.0,3rd,S,England,370160.0,7.05,0.0,0.0,no
212,male,49.0,1st,S,United States,19924.0,26.0,0.0,0.0,no
213,female,36.0,1st,C,United States,17770.0,27.1405,0.0,0.0,yes
214,female,25.0,1st,S,United States,19877.0,78.17,1.0,0.0,yes
215,male,36.0,1st,S,England,19877.0,78.17,1.0,0.0,no
216,male,24.0,3rd,S,Unknown,343275.0,8.01,0.0,0.0,no
217,male,46.0,1st,S,United States,5734.0,61.0306,1.0,0.0,no
218,female,47.0,1st,S,United States,5734.0,61.0306,1.0,0.0,yes
219,male,27.0,1st,S,United States,113806.0,53.02,1.0,0.0,yes
220,female,32.0,1st,S,United States,113806.0,53.02,1.0,0.0,yes
221,male,52.0,2nd,S,United States,248731.0,13.1,0.0,0.0,no
222,male,37.0,2nd,S,England,29037.0,26.0,1.0,0.0,no
223,female,29.0,2nd,S,England,29037.0,26.0,1.0,0.0,no
224,male,20.0,3rd,Q,Ireland,13032.0,7.1408,0.0,0.0,no
225,female,36.0,1st,C,Unknown,17608.0,262.0706,0.0,0.0,yes
226,female,30.0,1st,S,England,110152.0,86.1,0.0,0.0,yes
227,male,45.0,1st,C,Belgium,17594.0,29.14,0.0,0.0,yes
228,female,48.0,1st,S,England,113505.0,55.0,0.0,1.0,yes
229,male,32.0,3rd,S,Unknown,1601.0,56.0911,0.0,0.0,yes
230,male,43.0,1st,B,Scotland,112051.0,,0.0,0.0,no
231,male,29.0,3rd,S,England,343276.0,8.01,0.0,0.0,no
232,female,25.0,2nd,S,England,237789.0,30.0,1.0,1.0,yes
233,female,52.0,2nd,S,England,237789.0,30.0,0.0,2.0,yes
234,male,26.0,3rd,C,Unknown,2680.0,14.0901,1.0,0.0,no
235,male,21.0,3rd,C,Unknown,2680.0,14.0901,1.0,0.0,no
236,male,29.0,2nd,S,England,2003.0,26.0,1.0,0.0,no
237,male,28.0,2nd,S,England,250654.0,,,,no
238,female,28.0,2nd,S,England,2003.0,27.0,1.0,0.0,yes
239,female,26.0,1st,C,United States,13508.0,136.1507,1.0,0.0,yes
240,male,27.0,1st,C,United States,13508.0,136.1507,1.0,0.0,no
241,female,22.0,1st,S,England,113781.0,151.16,0.0,0.0,yes
242,male,40.0,1st,S,United States,110465.0,52.0,0.0,0.0,no
243,male,20.0,3rd,S,Unknown,3101307.0,7.01,0.0,0.0,no
244,male,18.0,3rd,S,England,3540.0,8.01,0.0,0.0,yes
245,male,24.0,3rd,Q,Ireland,371109.0,7.05,0.0,0.0,no
246,male,24.0,3rd,S,Bulgaria,349209.0,7.1711,0.0,0.0,no
247,male,29.0,2nd,S,England,14263.0,10.1,0.0,0.0,no
248,male,27.0,2nd,S,Finland,248740.0,13.0,0.0,0.0,no
249,male,25.0,2nd,S,England,28034.0,10.1,0.0,0.0,yes
250,male,37.0,1st,S,Ireland,5727.0,25.1109,0.0,0.0,no
251,female,8.0,2nd,S,England,31921.0,26.05,0.0,2.0,yes
252,male,31.0,2nd,S,England,31921.0,26.05,1.0,1.0,no
253,female,30.0,2nd,S,England,31921.0,26.05,1.0,1.0,yes
254,male,36.0,3rd,S,Bulgaria,349210.0,7.1711,0.0,0.0,no
255,female,39.0,1st,C,United States,17756.0,83.0302,1.0,1.0,yes
256,male,37.0,1st,C,United States,17756.0,83.0302,1.0,1.0,no
257,female,64.0,1st,C,United States,17756.0,83.0302,0.0,2.0,yes
258,male,31.0,3rd,Q,United States,21332.0,7.1408,0.0,0.0,no
259,male,40.0,3rd,Q,Ireland,335097.0,7.15,0.0,0.0,no
260,female,23.0,3rd,Q,Ireland,370373.0,7.15,0.0,0.0,yes
261,female,41.0,3rd,Q,Ireland,330972.0,7.1207,0.0,0.0,no
262,male,66.0,3rd,Q,Ireland,370369.0,7.15,0.0,0.0,no
263,male,43.0,3rd,S,Unknown,3536.0,8.01,0.0,0.0,no
264,female,22.0,2nd,S,England,14266.0,10.1,0.0,0.0,yes
265,female,30.0,2nd,S,United States,237249.0,13.0,0.0,0.0,no
266,female,32.0,2nd,S,Unknown,13534.0,21.0,0.0,0.0,no
267,male,35.0,3rd,S,Croatia (Modern),349230.0,7.1711,0.0,0.0,no
268,male,27.0,3rd,S,Hungary,349229.0,7.1711,0.0,0.0,no
269,male,19.0,3rd,S,Hungary,349231.0,7.1711,0.0,0.0,no
270,male,30.0,3rd,S,Poland,392090.0,8.01,0.0,0.0,no
271,female,55.0,1st,S,United States,11770.0,25.141,2.0,0.0,yes
272,female,16.0,3rd,Q,Ireland,367231.0,7.15,0.0,0.0,yes
273,male,21.0,2nd,S,England,29107.0,11.1,0.0,0.0,no
274,male,3.0,3rd,S,England,37671.0,15.18,1.0,1.0,yes
275,male,9.0,3rd,S,England,37671.0,15.18,1.0,1.0,yes
276,female,36.0,3rd,S,England,37671.0,15.18,0.0,2.0,yes
277,male,58.0,3rd,S,England,364500.0,7.05,0.0,0.0,no
278,male,59.0,1st,S,United States,113791.0,26.11,0.0,0.0,no
279,male,20.0,3rd,S,United States,3464.0,8.0302,0.0,0.0,no
280,female,16.0,3rd,S,United States,371362.0,16.02,0.0,1.0,yes
281,male,43.0,3rd,S,Australia,371362.0,16.02,0.0,1.0,no
282,male,70.0,1st,S,United States,5735.0,71.0,1.0,1.0,no
283,female,39.0,1st,S,United States,112901.0,26.11,0.0,2.0,yes
284,female,64.0,1st,S,United States,5735.0,71.0,1.0,1.0,yes
285,male,17.0,3rd,S,Croatia (Modern),315090.0,8.1303,0.0,0.0,no
286,male,39.0,1st,C,United States,17599.0,71.0508,1.0,0.0,no
287,female,35.0,1st,C,Peru,17599.0,71.0508,1.0,0.0,yes
288,male,22.0,2nd,B,Northern Ireland,239853.0,,0.0,0.0,no
289,male,28.0,3rd,C,Unknown,2686.0,7.0407,0.0,0.0,no
290,female,22.0,3rd,S,Sweden,7552.0,10.1004,0.0,0.0,no
291,male,45.0,3rd,S,Unknown,7598.0,8.01,0.0,0.0,yes
292,male,19.0,3rd,S,Unknown,349228.0,10.0305,0.0,0.0,no
293,female,33.0,3rd,Q,Ireland,382650.0,6.19,0.0,0.0,yes
294,male,29.0,3rd,Q,Ireland,382651.0,7.15,0.0,0.0,yes
295,male,51.0,1st,S,England,113055.0,26.11,0.0,0.0,yes
296,male,0.333333333,3rd,S,Sweden,347080.0,14.08,0.0,2.0,no
297,male,34.0,3rd,S,Sweden,347080.0,14.08,1.0,1.0,no
298,female,28.0,3rd,S,Sweden,347080.0,14.08,1.0,1.0,no
299,male,27.0,1st,S,United States,113804.0,30.1,0.0,0.0,yes
300,female,36.0,1st,S,England,113781.0,151.16,0.0,0.0,yes
301,male,27.0,3rd,S,Unknown,349219.0,7.1711,0.0,0.0,no
302,female,27.0,1st,C,Canada,12750.0,52.0,1.0,2.0,yes
303,male,31.0,1st,C,Canada,12750.0,52.0,1.0,0.0,no
304,male,8.0,2nd,S,England,33112.0,36.15,1.0,1.0,yes
305,male,24.0,3rd,S,England,48871.0,24.03,2.0,0.0,no
306,male,19.0,2nd,S,England,14879.0,73.1,0.0,0.0,no
307,male,22.0,3rd,S,Wales,23568.0,8.01,0.0,0.0,no
308,male,22.0,3rd,S,England,48871.0,24.03,2.0,0.0,no
309,male,17.0,3rd,S,England,48873.0,8.01,2.0,0.0,no
310,female,48.0,2nd,S,England,33112.0,36.15,0.0,2.0,yes
311,female,28.0,2nd,S,England,237668.0,13.0,0.0,0.0,yes
312,female,34.0,3rd,S,England,386525.0,16.02,1.0,0.0,yes
313,male,32.0,3rd,S,England,386525.0,16.02,1.0,0.0,no
314,male,18.0,2nd,S,England,14879.0,73.1,0.0,0.0,no
315,male,1.0,3rd,S,England,2315.0,20.1106,1.0,2.0,yes
316,female,0.166666667,3rd,S,England,2315.0,20.1106,1.0,2.0,yes
317,male,25.0,3rd,S,England,2315.0,20.1106,1.0,2.0,no
318,female,32.0,3rd,S,England,2315.0,20.1106,1.0,2.0,yes
319,male,25.0,3rd,S,Bosnia,349250.0,7.1711,0.0,0.0,no
320,female,24.0,2nd,C,Italy,2167.0,27.1405,1.0,0.0,yes
321,male,29.0,2nd,C,Italy,2167.0,27.1405,1.0,0.0,no
322,male,36.0,3rd,S,United States,345572.0,17.08,1.0,0.0,yes
323,female,36.0,3rd,S,United States,345572.0,17.08,1.0,0.0,yes
324,male,30.0,3rd,S,Belgium,345774.0,9.1,0.0,0.0,yes
325,male,25.0,2nd,S,Channel Islands,31029.0,31.1,0.0,0.0,no
326,male,30.0,3rd,S,Unknown,349225.0,7.1711,0.0,0.0,no
327,male,22.0,3rd,S,England,21172.0,7.05,0.0,0.0,no
328,male,26.0,3rd,S,England,21175.0,7.05,0.0,0.0,no
329,male,16.0,3rd,S,Belgium,345778.0,9.1,0.0,0.0,no
330,female,19.0,3rd,Q,Ireland,330958.0,7.1707,0.0,0.0,yes
331,male,18.0,2nd,S,England,14879.0,73.1,0.0,0.0,no
332,male,31.0,1st,S,Canada,17474.0,57.0,1.0,0.0,yes
333,female,17.0,1st,S,United States,17474.0,57.0,1.0,0.0,yes
334,male,17.0,3rd,S,Croatia (Modern),349232.0,7.1711,0.0,0.0,no
335,male,42.0,3rd,S,Hungary,315088.0,8.1303,0.0,0.0,no
336,male,43.0,3rd,S,Unknown,349226.0,7.1711,0.0,0.0,no
337,male,52.0,1st,S,United States,33638.0,81.1702,1.0,1.0,yes
338,male,4.0,1st,S,United States,33638.0,81.1702,0.0,2.0,yes
339,female,34.0,1st,S,United States,33638.0,81.1702,1.0,1.0,yes
340,female,18.0,2nd,S,England,231919.0,23.0,0.0,1.0,yes
341,female,34.0,2nd,S,England,231919.0,23.0,0.0,1.0,yes
342,female,21.0,3rd,Q,Ireland,364856.0,7.15,0.0,0.0,no
343,male,37.0,3rd,Q,Ireland,370376.0,7.15,0.0,0.0,no
344,male,18.0,3rd,S,England,10482.0,8.01,0.0,0.0,yes
345,male,22.0,3rd,Q,Ireland,330877.0,8.0902,0.0,0.0,no
346,female,48.0,1st,C,United States,17761.0,106.0806,1.0,0.0,yes
347,female,27.0,1st,C,Canada,17558.0,247.1005,1.0,1.0,yes
348,male,50.0,1st,C,United States,17761.0,106.0806,1.0,0.0,no
349,male,55.0,2nd,S,England,28403.0,26.0,0.0,0.0,no
350,female,31.0,3rd,S,United States,364516.0,12.0906,0.0,0.0,yes
351,female,28.0,3rd,Q,Ireland,368702.0,7.15,0.0,0.0,no
352,male,33.0,3rd,C,Croatia (Modern),349241.0,7.1711,0.0,0.0,no
353,male,8.0,2nd,S,United States,28220.0,32.1,0.0,2.0,yes
354,male,42.0,2nd,S,England,28220.0,32.1,1.0,1.0,no
355,female,34.0,2nd,S,United States,28220.0,32.1,1.0,1.0,yes
356,female,27.0,3rd,Q,Ireland,14311.0,7.15,0.0,0.0,yes
357,female,24.0,3rd,S,England,392083.0,8.01,0.0,0.0,yes
358,female,48.0,1st,C,England,17485.0,56.1807,1.0,0.0,yes
359,male,49.0,1st,C,England,11755.0,39.12,1.0,0.0,yes
360,male,39.0,1st,C,United States,17580.0,29.14,0.0,0.0,no
361,male,24.0,3rd,S,Channel Islands,752.0,7.11,0.0,0.0,yes
362,female,27.0,2nd,C,Spain,2149.0,13.1702,1.0,0.0,yes
363,female,30.0,2nd,C,Spain,2148.0,13.1702,1.0,0.0,yes
364,male,65.0,3rd,Q,Ireland,336439.0,7.15,0.0,0.0,no
365,male,23.0,3rd,S,United States,347072.0,13.18,1.0,0.0,no
366,female,22.0,3rd,S,United States,347072.0,13.18,1.0,0.0,yes
367,female,23.0,1st,C,United States,11767.0,83.0302,0.0,1.0,yes
368,male,18.0,3rd,S,Sweden,349912.0,7.1506,0.0,0.0,no
369,male,25.0,2nd,S,United States,29751.0,13.0,0.0,0.0,no
370,male,16.0,3rd,S,Sweden,347074.0,7.1506,0.0,0.0,no
371,male,45.0,3rd,S,Sweden,347061.0,6.1906,0.0,0.0,no
